name,address,rating,review_count,lat,lon,tit1,zipcodes
Fusion Cafe,"501 W Olympic Blvd  Los Angeles, CA 90015",2.5,3,34.04358673,-118.2609482,Coffee & Tea,90015
Shabuya,"820 E Valley Blvd  Alhambra, CA 91803",4.5,337,34.07799267,-118.1146185,Hot Pot,91803
Sushi One,"3905 W 6th St  Los Angeles, CA 90020",4.0,399,34.0636449,-118.3082425,Japanese,90020
John's Philly Grille,"16061 Goldenwest St  Huntington Beach, CA 92647",4.5,433,33.72853,-118.00713999999999,Sandwiches,92647
Original Herbivore,"Los Angeles, CA 90291",4.0,51,33.99308014,-118.47148130000001,Food Trucks,90291
La Farfala Coffee Shop & Deli,"346 N Ford Blvd  Los Angeles, CA 90022",4.0,103,34.04007721,-118.16888429999999,Coffee & Tea,90022
Tacu Tacu Peruvian Cuisine,"8610 Warner Ave  Fountain Valley, CA 92708",4.0,938,33.715603,-117.97863899999999,Peruvian,92708
The Overland Cafe,"3601 Overland Ave  Los Angeles, CA 90034",3.5,1414,34.0223554,-118.4099716,American (New),90034
Tanuki No Sato,"18206 S Western Ave  Gardena, CA 90248",4.0,28,33.86499,-118.30863000000001,Japanese,90248
Jack in the Box,"4965 Huntington Dr N  Los Angeles, CA 90032",1.5,70,34.08778738,-118.17543219999999,Burgers,90032
Broiling Pit,"939 S Glendora Ave  West Covina, CA 91790",4.0,122,34.05843833,-117.93572830000001,Barbeque,91790
Wingstop,"2189 Whittier Blvd  Ste B  Los Angeles, CA 90023",1.5,8,34.036297999999995,-118.219171,Chicken Wings,90023
Steve's Char-Burger,"18202 Prairie Ave  Torrance, CA 90504",3.5,290,33.86525,-118.34338000000001,Burgers,90504
Puchica Guatemalan Bar & Grill,"4523 Sepulveda Blvd  Sherman Oaks, CA 91403",4.0,438,34.1523327,-118.4668594,Breakfast & Brunch,91403
Perrys Cafe and Beach Rentals,"2400 Ocean Front Walk  Santa Monica, CA 90405",2.5,24,34.005009,-118.49026200000002,Bike Rentals,90405
Red Moon Restaurant & Lounge,"12516 Riverside Dr  Valley Village, CA 91607",4.0,425,34.15726,-118.40603999999999,Bars,91607
The Iron Press,"440 S Anaheim Blvd  Anaheim, CA 92805",4.0,438,33.8316144,-117.9118312,Beer Bar,92805
Flavor of India,"12321 Ventura Blvd  Studio City, CA 91604",4.5,483,34.14326,-118.40163000000001,Indian,91604
Bachan's Take Out,"1324 1/2 Potrero Grande Dr  Rosemead, CA 91770",4.5,567,34.04534191,-118.09938909999998,Japanese,91770
Wendy's Donut & Pizza,"1411 Lincoln Blvd  Venice, CA 90291",3.0,4,34.019369,-118.49069180000001,Bakeries,90291
Domino's Pizza,"3502 W Sunset Blvd  Los Angeles, CA 90026",2.5,46,34.08854,-118.2764983,Pizza,90026
Sofra Urbana,"17098 Magnolia St  Fountain Valley, CA 92708",4.5,329,33.714403999999995,-117.97039299999999,Pizza,92708
Cerese's Pizza,"351 S Atlantic Blvd  Los Angeles, CA 90022",4.0,37,34.030862299999995,-118.1542923,Pizza,90022
Bob's Burgers,"13891 Beach Blvd  Westminster, CA 92683",3.5,329,33.76044,-117.99008,Burgers,92683
Uruapan Taco,"604 E El Segundo Blvd  Compton, CA 90222",4.0,32,33.9165985,-118.21818929999999,Mexican,90222
Pho Daily,"15126 S Western Ave  Gardena, CA 90249",4.0,626,33.893596200000005,-118.3090251,Vietnamese,90249
Chomak,"357 S Western Ave  Ste 101  Los Angeles, CA 90020",4.0,78,34.067512,-118.30956100000002,Korean,90020
La Boutique Café,"420 S Spring St  Los Angeles, CA 90013",5.0,6,34.04742085,-118.24942309999999,Coffee & Tea,90013
Subway,"625 Montana Ave  Ste D  Santa Monica, CA 90403",3.5,27,34.02673612,-118.5023437,Sandwiches,90403
Kusina Filipina,"4157 Eagle Rock Blvd  Ste 1  Los Angeles, CA 90065",4.0,298,34.122147999999996,-118.2258273,Filipino,90065
King's Hawaiian Grill,"1000 Vin Scully Ave  Los Angeles, CA 90012",4.0,8,34.07486035,-118.2404104,Hawaiian,90012
Taco Stand,"Los Angeles, CA 90042",3.5,8,34.11512756,-118.1919479,Food Stands,90042
LV  Seafood,"4139 Norse Way  Long Beach, CA 90808",4.0,288,33.832978000000004,-118.141779,Chinese,90808
The Commoner,"6754 Greenleaf Ave  Whittier, CA 90601",4.5,200,33.97934179999999,-118.03724509999999,Beer Bar,90601
Mariscos La Corita,"4504 Avalon Blvd  Los Angeles, CA 90011",4.5,111,34.00225,-118.26483999999999,Mexican,90011
Mr Angelo's Pizza,"3961 S Western Ave  Los Angeles, CA 90062",3.0,34,34.012505,-118.3090549,Pizza,90062
The Naughty Pig,"8264 W Sunset Blvd  West Hollywood, CA 90046",5.0,59,34.096739,-118.3694558,Sports Bars,90046
Don Felix Taqueria,"3987 Sawtelle Blvd  Los Angeles, CA 90066",4.5,45,34.0075055,-118.416844,Mexican,90066
Fruit Stand / Cart,"Figueroa St At Diamond St  Los Angeles, CA 90012",5.0,1,34.058369899999995,-118.25133999999998,Food Stands,90012
Mi Querido Pulgarcito Restaurant,"1608 W Washington Blvd  Los Angeles, CA 90007",2.5,53,34.039875099999996,-118.2920725,Salvadoran,90007
The Red Leprechaun,"4000 E Anaheim St  Long Beach, CA 90804",4.0,431,33.782314299999996,-118.14551540000001,American (New),90804
Studio Bar,"5990 Green Valley Cir  Culver City, CA 90230",3.5,3,33.9835416,-118.39433580000001,American (New),90230
The Fountain Bar,"189 The Grove Dr  Los Angeles, CA 90036",3.5,69,34.071899,-118.358382,Cocktail Bars,90036
Shanghai Banjum,"440 S Vermont Ave  Unit 102  Los Angeles, CA 90020",3.5,31,34.06579,-118.29108000000001,Chinese,90020
C & K Importing,"2771 W Pico Blvd  Los Angeles, CA 90006",4.5,6,34.047374700000006,-118.29978179999999,Delis,90006
Hells Chicken,"5527 Hollywood Blvd  Los Angeles, CA 90028",4.0,42,34.101890000000004,-118.31020819999999,Chicken Shop,90028
Clancy's,"111 Main St  Seal Beach, CA 90740",3.5,73,33.74041748,-118.1058807,Dive Bars,90740
Izzy's Deli,"1433 Wilshire Blvd  Santa Monica, CA 90403",3.0,726,34.02761841,-118.48828130000001,Delis,90403
Yoshinoya Sepulveda & Western,"1603 Sepulveda Blvd  Torrance, CA 90501",2.5,103,33.816629999999996,-118.3066,Japanese,90501
Desert Rose,"1700 N Hillhurst Ave  Los Feliz Village  Los Angeles, CA 90027",3.5,892,34.101978,-118.28705,Mediterranean,90027
The Backyard,"2301 Highland Ave  Hollywood Bowl  Los Angeles, CA 90068",3.5,19,34.11238489,-118.3385325,Belgian,90068
ArcLight Hollywood Café & Bar,"6360 W Sunset Blvd  Los Angeles, CA 90028",3.5,151,34.097592999999996,-118.328049,American (New),90028
McDonald's,"901 S Long Beach Blvd  Compton, CA 90221",1.5,40,33.888394,-118.20743799999998,Fast Food,90221
Revolutionario: North African Tacos,"1436 W Jefferson Blvd  Ste 70  Los Angeles, CA 90007",4.5,551,34.02523,-118.29857,African,90007
The Lazy Daisy,"2300 Pico Blvd  Santa Monica, CA 90405",3.5,419,34.020982000000004,-118.46636869999999,Breakfast & Brunch,90405
Belle Vie Food & Wine,"11916 Wilshire Blvd  Los Angeles, CA 90025",4.5,218,34.04601669,-118.4645996,Wine Bars,90025
Sunday Gravy,"1122 Centinela Ave  Inglewood, CA 90302",5.0,101,33.9766,-118.35857,Pasta Shops,90302
Krispy Krunchy Chicken,"11025 Washington Blvd  Whittier, CA 90606",4.0,63,33.9722831,-118.07129809999999,Chicken Wings,90606
Del Taco,"4903 Eagle Rock Blvd  Los Angeles, CA 90041",1.5,145,34.1353,-118.21531740000002,Mexican,90041
Jang Ga Nae,"1722 Desire Ave  Ste 108  Rowland Heights, CA 91748",4.0,97,33.986959999999996,-117.89583999999999,Korean,91748
Pho 2000 Restaurant,"2897 W Olympic Blvd  Los Angeles, CA 90006",3.0,111,34.053019899999995,-118.29757,Vietnamese,90006
Chipotle Mexican Grill,"15528 Whittier Blvd  Unit A  Whittier, CA 90603",2.0,176,33.9443999,-117.9948264,Mexican,90603
Thank You Fried Chicken,"2009 West Commonwealth Ave  Ste A  Fullerton, CA 92833",4.0,372,33.87101,-117.96637,Chicken Wings,92833
